username,repo name,stars,repo_url
mrdoob,three.js,89.1k,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,21.4k,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21.1k,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,19.4k,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,16.1k,https://github.com/ssloy/tinyrenderer
aframevr,aframe,15.1k,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,14.6k,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13.2k,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,9.9k,https://github.com/CesiumGS/cesium
metafizzy,zdog,9.6k,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,8.7k,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,8.1k,https://github.com/isl-org/Open3D
blender,blender,7.7k,https://github.com/blender/blender
a1studmuffin,SpaceshipGenerator,7.3k,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6k,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,5.9k,https://github.com/FyroxEngine/Fyrox
openscad,openscad,5.4k,https://github.com/openscad/openscad
google,model-viewer,5.3k,https://github.com/google/model-viewer
spritejs,spritejs,5.1k,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,4.9k,https://github.com/jagenjo/webglstudio.js
