username,repo name,stars,repo_url
ljianshu,Blog,7.5k,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7.2k,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5.5k,https://github.com/developit/unfetch
olifolkerd,tabulator,5.2k,https://github.com/olifolkerd/tabulator
jquery-form,form,5.2k,https://github.com/jquery-form/form
Studio-42,elFinder,4.4k,https://github.com/Studio-42/elFinder
elbywan,wretch,3.7k,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,2.9k,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2.9k,https://github.com/ded/reqwest
LeaVerou,bliss,2.4k,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2.3k,https://github.com/wendux/ajax-hook
noelboss,featherlight,2.1k,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1.8k,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1.7k,https://github.com/ptaoussanis/sente
nette,tracy,1.6k,https://github.com/nette/tracy
joaomilho,Enterprise,1.6k,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1.5k,https://github.com/loadingio/css-spinner
k8w,tsrpc,1.4k,https://github.com/k8w/tsrpc
u014427391,jeeplatform,1.4k,https://github.com/u014427391/jeeplatform
codingforentrepreneurs,eCommerce,1.4k,https://github.com/codingforentrepreneurs/eCommerce
