username,repo name,stars,repo_url
jwasham,coding-interview-university,247k,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,163k,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,162k,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,153k,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,86.3k,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,59.2k,https://github.com/kdn251/interviews
azl397985856,leetcode,50.5k,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,50.3k,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,42.3k,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,35.4k,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,29.1k,https://github.com/halfrost/LeetCode-Go
huihut,interview,27.5k,https://github.com/huihut/interview
crossoverJie,JCSprout,26.9k,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,26.9k,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,25.2k,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,23.3k,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22.2k,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,20.9k,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,20.7k,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,17.5k,https://github.com/AtsushiSakai/PythonRobotics
