username,repo name,stars,repo_url
flutter,flutter,150k,https://github.com/flutter/flutter
facebook,react-native,108k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,99.9k,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,76.9k,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,61.6k,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,47.6k,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,45.5k,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,45.4k,https://github.com/Solido/awesome-flutter
square,okhttp,43.6k,https://github.com/square/okhttp
android,architecture-samples,42.3k,https://github.com/android/architecture-samples
square,retrofit,41.2k,https://github.com/square/retrofit
dcloudio,uni-app,37.7k,https://github.com/dcloudio/uni-app
fastlane,fastlane,36.5k,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36.1k,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,34.5k,https://github.com/laurent22/joplin
airbnb,lottie-android,33.6k,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,33.4k,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33.4k,https://github.com/bumptech/glide
skylot,jadx,33.3k,https://github.com/skylot/jadx
xitu,gold-miner,31.9k,https://github.com/xitu/gold-miner
