username,repo name,stars,repo_url
justjavac,free-programming-books-zh_CN,99.9k,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,86.4k,https://github.com/angular/angular
storybookjs,storybook,76.8k,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,55k,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48.6k,https://github.com/ionic-team/ionic-framework
prettier,prettier,44.9k,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,33.5k,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,32.2k,https://github.com/SheetJS/sheetjs
angular,angular-cli,26k,https://github.com/angular/angular-cli
angular,components,23.3k,https://github.com/angular/components
NativeScript,NativeScript,22.2k,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,20.8k,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20.3k,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,18.8k,https://github.com/pubkey/rxdb
nrwl,nx,16.6k,https://github.com/nrwl/nx
teambit,bit,16.4k,https://github.com/teambit/bit
sweetalert2,sweetalert2,15.5k,https://github.com/sweetalert2/sweetalert2
sudheerj,javascript-interview-questions,14.4k,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,14.1k,https://github.com/wailsapp/wails
codesandbox,codesandbox-client,12.2k,https://github.com/codesandbox/codesandbox-client
