username,repo name,stars,repo_url
ansible,ansible,56.3k,https://github.com/ansible/ansible
bregman-arie,devops-exercises,39.9k,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,26.9k,https://github.com/trailofbits/algo
StreisandEffect,streisand,22.9k,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,21.5k,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,13.5k,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11.9k,https://github.com/ansible/awx
easzlab,kubeasz,8.9k,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6.7k,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6.6k,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,6.3k,https://github.com/Tikam02/DevOps-Guide
ansible-semaphore,semaphore,5.7k,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,5.2k,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4.9k,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4.6k,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4.1k,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3.9k,https://github.com/netbootxyz/netboot.xyz
litmuschaos,litmus,3.5k,https://github.com/litmuschaos/litmus
ansible-community,molecule,3.5k,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3.4k,https://github.com/opendevops-cn/opendevops
