username,repo name,stars,repo_url
arendst,Tasmota,19.2k,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,14.5k,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13.4k,https://github.com/arduino/Arduino
rwaldron,johnny-five,12.9k,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,12.3k,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,11.3k,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,10.2k,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8.2k,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8.1k,https://github.com/hybridgroup/gobot
platformio,platformio-core,6.6k,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6k,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5.7k,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,4k,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3.9k,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3.8k,https://github.com/arduino/arduino-cli
olikraus,u8g2,3.7k,https://github.com/olikraus/u8g2
blynkkk,blynk-library,3.6k,https://github.com/blynkkk/blynk-library
NerdLang,nerd,3.4k,https://github.com/NerdLang/nerd
ClemensElflein,OpenMower,3.4k,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,3.1k,https://github.com/Serial-Studio/Serial-Studio
