username,repo name,stars,repo_url
bitwarden,server,12k,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11.4k,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10.9k,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,9.4k,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7.9k,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6.6k,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5.8k,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5.7k,https://github.com/RicoSuter/NSwag
dotnet,aspnet-api-versioning,2.6k,https://github.com/dotnet/aspnet-api-versioning
FastEndpoints,FastEndpoints,2.6k,https://github.com/FastEndpoints/FastEndpoints
smartstore,SmartStoreNET,2.5k,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2.5k,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2.3k,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2.3k,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2.2k,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1.5k,https://github.com/TrilonIO/aspnetcore-angular-universal
MarimerLLC,csla,1.1k,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,756,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,660,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,631,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
