username,repo name,stars,repo_url
atom,atom,59.1k,https://github.com/atom/atom
themerdev,themer,5k,https://github.com/themerdev/themer
miniflux,v2,4.8k,https://github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3.9k,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3.8k,https://github.com/nteract/hydrogen
atom,teletype,2.4k,https://github.com/atom/teletype
mmcdole,gofeed,2.1k,https://github.com/mmcdole/gofeed
NaiboWang,CommandlineConfig,2k,https://github.com/NaiboWang/CommandlineConfig
mehcode,awesome-atom,1.9k,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1.5k,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1.5k,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1.5k,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1.5k,https://github.com/simplepie/simplepie
ocaml,merlin,1.5k,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1.4k,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1.4k,https://github.com/MagicStack/MagicPython
feeddd,feeds,1.3k,https://github.com/feeddd/feeds
atom,apm,1.3k,https://github.com/atom/apm
file-icons,atom,1.2k,https://github.com/file-icons/atom
fwcd,kotlin-language-server,1.1k,https://github.com/fwcd/kotlin-language-server
