username,repo name,stars,repo_url
sindresorhus,awesome,239k,https://github.com/sindresorhus/awesome
vinta,awesome-python,157k,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,119k,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,96.6k,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,89.9k,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,69.8k,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,65.1k,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,61.6k,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,57.9k,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,53.5k,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,49.7k,https://github.com/sindresorhus/awesome-nodejs
MunGell,awesome-for-beginners,48.5k,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,45.6k,https://github.com/prakhar1989/awesome-courses
wasabeef,awesome-android-ui,45.5k,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,45.4k,https://github.com/Solido/awesome-flutter
fffaraz,awesome-cpp,43.9k,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,43.7k,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42k,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,39.7k,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,37.4k,https://github.com/dypsilon/frontend-dev-bookmarks
