username,repo name,stars,repo_url
babel,babel,41.9k,https://github.com/babel/babel
swc-project,swc,26.1k,https://github.com/swc-project/swc
nylas,nylas-mail,24.7k,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21.7k,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,20.9k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20.2k,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15.2k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14.8k,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11.5k,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8.1k,https://github.com/grommet/grommet
developit,htm,8.1k,https://github.com/developit/htm
ben-rogerson,twin.macro,6.9k,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5.7k,https://github.com/documentationjs/documentation
insin,nwb,5.5k,https://github.com/insin/nwb
fkling,astexplorer,5.3k,https://github.com/fkling/astexplorer
thinkjs,thinkjs,5.3k,https://github.com/thinkjs/thinkjs
egoist,poi,5.3k,https://github.com/egoist/poi
transitive-bullshit,create-react-library,4.8k,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,4.7k,https://github.com/duxianwei520/react
