username,repo name,stars,repo_url
jlevy,the-art-of-command-line,129k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,64.8k,https://github.com/nvm-sh/nvm
junegunn,fzf,49.9k,https://github.com/junegunn/fzf
google,zx,36.2k,https://github.com/google/zx
dylanaraps,pure-bash-bible,33k,https://github.com/dylanaraps/pure-bash-bible
starship,starship,32.6k,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,32.4k,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,31.4k,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,30.3k,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,28.8k,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,26.6k,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,22.8k,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,21.5k,https://github.com/withfig/autocomplete
dylanaraps,neofetch,17.3k,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,16.6k,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14.8k,https://github.com/rbenv/rbenv
shelljs,shelljs,13.7k,https://github.com/shelljs/shelljs
faressoft,terminalizer,13.7k,https://github.com/faressoft/terminalizer
powerline,powerline,13.7k,https://github.com/powerline/powerline
Bash-it,bash-it,13.4k,https://github.com/Bash-it/bash-it
