username,repo name,stars,repo_url
bitcoin,bitcoin,68.3k,https://github.com/bitcoin/bitcoin
ccxt,ccxt,27.3k,https://github.com/ccxt/ccxt
freqtrade,freqtrade,20.8k,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17.8k,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10k,https://github.com/solana-labs/solana
askmike,gekko,9.9k,https://github.com/askmike/gekko
bbfamily,abu,9.6k,https://github.com/bbfamily/abu
dvf,blockchain,7.3k,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6.7k,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6.4k,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6.2k,https://github.com/spesmilo/electrum
butor,blackbird,5.7k,https://github.com/butor/blackbird
btcsuite,btcd,5.2k,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4.8k,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4.5k,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4.5k,https://github.com/jesse-ai/jesse
btcpayserver,btcpayserver,4.4k,https://github.com/btcpayserver/btcpayserver
CryptoSignal,Crypto-Signal,4.3k,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4.2k,https://github.com/bisq-network/bisq
