username,repo name,stars,repo_url
ccxt,ccxt,27.3k,https://github.com/ccxt/ccxt
discordjs,discord.js,21.8k,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,21.1k,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16.4k,https://github.com/hubotio/hubot
RasaHQ,rasa,15.6k,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,15.1k,https://github.com/InstaPy/InstaPy
wechaty,wechaty,15k,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12.9k,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,12.5k,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,12.2k,https://github.com/Rapptz/discord.py
leon-ai,leon,11.9k,https://github.com/leon-ai/leon
howdyai,botkit,11k,https://github.com/howdyai/botkit
botpress,botpress,10.1k,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9.4k,https://github.com/sfyc23/EverydayWechat
pedroslopez,whatsapp-web.js,9.2k,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7.2k,https://github.com/microsoft/ailab
Mrs4s,go-cqhttp,7k,https://github.com/Mrs4s/go-cqhttp
microsoft,botframework-sdk,7k,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,6.9k,https://github.com/EZFNDEV/EZFN-Lobbybot
yagop,node-telegram-bot-api,6.9k,https://github.com/yagop/node-telegram-bot-api
