username,repo name,stars,repo_url
Genymobile,scrcpy,76.9k,https://github.com/Genymobile/scrcpy
neovim,neovim,62.5k,https://github.com/neovim/neovim
obsproject,obs-studio,45.8k,https://github.com/obsproject/obs-studio
git,git,45.3k,https://github.com/git/git
fffaraz,awesome-cpp,43.9k,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,34.2k,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,34.1k,https://github.com/FFmpeg/FFmpeg
vim,vim,29.6k,https://github.com/vim/vim
curl,curl,28.5k,https://github.com/curl/curl
huihut,interview,27.5k,https://github.com/huihut/interview
ggreer,the_silver_searcher,24.6k,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,21.7k,https://github.com/pbatard/rufus
mpv-player,mpv,21.5k,https://github.com/mpv-player/mpv
ossrs,srs,20.8k,https://github.com/ossrs/srs
ruby,ruby,20k,https://github.com/ruby/ruby
google,flatbuffers,19.9k,https://github.com/google/flatbuffers
oracle,graal,18.2k,https://github.com/oracle/graal
microsoft,vcpkg,17.9k,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,17.8k,https://github.com/kovidgoyal/kitty
radareorg,radare2,17.6k,https://github.com/radareorg/radare2
