username,repo name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,33.6k,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,22.8k,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,20.3k,https://github.com/refined-github/refined-github
darkreader,darkreader,16k,https://github.com/darkreader/darkreader
checkly,headless-recorder,14.7k,https://github.com/checkly/headless-recorder
unbug,codelf,13.4k,https://github.com/unbug/codelf
dailydotdev,daily,11.4k,https://github.com/dailydotdev/daily
Anarios,return-youtube-dislike,10.7k,https://github.com/Anarios/return-youtube-dislike
wong2,chatgpt-google-extension,10.5k,https://github.com/wong2/chatgpt-google-extension
crimx,ext-saladict,10.3k,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,10.1k,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,9.6k,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,8k,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,8k,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6.8k,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,6.4k,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6.4k,https://github.com/AutomaApp/automa
alyssaxuu,omni,6k,https://github.com/alyssaxuu/omni
dessant,buster,5.7k,https://github.com/dessant/buster
PlasmoHQ,plasmo,5.3k,https://github.com/PlasmoHQ/plasmo
