username,repo name,stars,repo_url
ohmyzsh,ohmyzsh,155k,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,49.9k,https://github.com/junegunn/fzf
sharkdp,bat,39.7k,https://github.com/sharkdp/bat
sherlock-project,sherlock,39.2k,https://github.com/sherlock-project/sherlock
google,zx,36.2k,https://github.com/google/zx
BurntSushi,ripgrep,36k,https://github.com/BurntSushi/ripgrep
wagoodman,dive,35.8k,https://github.com/wagoodman/dive
chubin,cheat.sh,34.7k,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,32.8k,https://github.com/jesseduffield/lazygit
cli,cli,31.4k,https://github.com/cli/cli
spf13,cobra,30.7k,https://github.com/spf13/cobra
n8n-io,n8n,28.3k,https://github.com/n8n-io/n8n
alebcay,awesome-shell,26.6k,https://github.com/alebcay/awesome-shell
httpie,httpie,26.5k,https://github.com/httpie/httpie
sharkdp,fd,26.4k,https://github.com/sharkdp/fd
angular,angular-cli,26k,https://github.com/angular/angular-cli
ibraheemdev,modern-unix,25.7k,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,24k,https://github.com/tqdm/tqdm
google,python-fire,23.9k,https://github.com/google/python-fire
vercel,pkg,22.8k,https://github.com/vercel/pkg
