username,repo name,stars,repo_url
ovity,octotree,22.4k,https://github.com/ovity/octotree
gitpod-io,gitpod,10.3k,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,6k,https://github.com/reviewdog/reviewdog
danger,danger,5.1k,https://github.com/danger/danger
danger,danger-js,4.8k,https://github.com/danger/danger-js
joho,awesome-code-review,3.8k,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2.1k,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2k,https://github.com/microsoft/vscode-pull-request-github
houndci,hound,1.9k,https://github.com/houndci/hound
mbj,mutant,1.9k,https://github.com/mbj/mutant
crev-dev,cargo-crev,1.8k,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1.5k,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1.4k,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1.3k,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1.2k,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1.1k,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,859,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,849,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,745,https://github.com/enlightn/enlightn
palantir,policy-bot,595,https://github.com/palantir/policy-bot
