username,repo name,stars,repo_url
CSSEGISandData,COVID-19,29.3k,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,6.9k,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,6.9k,https://github.com/covid19india/covid19india-react
tokyo-metropolitan-gov,covid19,6.4k,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5.5k,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3.9k,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2.9k,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2.4k,https://github.com/disease-sh/API
geohot,corona,2.3k,https://github.com/geohot/corona
WorldHealthOrganization,app,2.1k,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1.9k,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1.9k,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1.6k,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1.6k,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1.5k,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1.5k,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,1.4k,https://github.com/chandrikadeb7/Face-Mask-Detection
neherlab,covid19_scenarios,1.4k,https://github.com/neherlab/covid19_scenarios
chrismattmann,tika-python,1.2k,https://github.com/chrismattmann/tika-python
pomber,covid19,1.2k,https://github.com/pomber/covid19
