username,repo name,stars,repo_url
CyC2018,CS-Notes,162k,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,91.2k,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,50.5k,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,43.9k,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39.9k,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,35.4k,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,29.6k,https://github.com/carbon-language/carbon-lang
huihut,interview,27.5k,https://github.com/huihut/interview
microsoft,calculator,26.7k,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,26k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,23.8k,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,23.3k,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,21k,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,19.9k,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,19.5k,https://github.com/ethereum/solidity
microsoft,vcpkg,17.9k,https://github.com/microsoft/vcpkg
gabime,spdlog,17k,https://github.com/gabime/spdlog
dragonflydb,dragonfly,16.9k,https://github.com/dragonflydb/dragonfly
catchorg,Catch2,16.2k,https://github.com/catchorg/Catch2
ssloy,tinyrenderer,16.1k,https://github.com/ssloy/tinyrenderer
